math_score,cs_score,communication,extracurricular,internship,career
81,36,3,sports,yes,Data Scientist
44,62,8,none,yes,Data Scientist
90,52,3,tech,no,Software Engineer
50,48,8,arts,no,Manager
53,48,1,arts,yes,Data Scientist
32,65,5,tech,yes,Data Scientist
51,58,4,none,no,Teacher
82,89,5,sports,no,Software Engineer
31,31,8,tech,no,Software Engineer
59,30,10,tech,no,Manager
67,76,4,none,no,Software Engineer
31,98,4,arts,no,Teacher
93,49,3,none,no,Teacher
89,40,7,tech,yes,Manager
50,31,3,tech,no,Teacher
62,96,3,arts,no,Data Scientist
87,41,10,arts,yes,Data Scientist
51,49,5,arts,no,Teacher
78,34,5,none,no,Manager
88,66,6,arts,yes,Software Engineer
71,67,8,tech,no,Manager
89,38,10,tech,yes,Software Engineer
44,82,6,sports,yes,Teacher
91,73,1,none,yes,Teacher
91,53,8,sports,yes,Data Scientist
76,59,8,tech,no,Software Engineer
91,88,9,sports,yes,Manager
80,43,9,tech,yes,Teacher
84,38,2,sports,no,Manager
93,69,2,arts,yes,Data Scientist
32,95,3,sports,yes,Software Engineer
80,54,1,arts,yes,Software Engineer
36,51,4,arts,yes,Teacher
50,33,4,none,no,Software Engineer
68,55,9,arts,yes,Teacher
47,87,9,arts,no,Data Scientist
33,58,9,sports,no,Software Engineer
89,66,10,tech,yes,Teacher
43,99,7,none,yes,Manager
38,47,2,arts,yes,Teacher
82,71,10,none,yes,Software Engineer
31,70,5,sports,no,Data Scientist
89,67,4,arts,no,Software Engineer
73,63,8,sports,no,Software Engineer
37,46,2,none,yes,Teacher
76,66,6,sports,no,Manager
64,54,5,none,yes,Software Engineer
65,56,2,sports,yes,Manager
79,86,10,none,yes,Teacher
33,60,1,tech,yes,Manager
31,35,8,sports,yes,Teacher
35,69,2,sports,no,Data Scientist
83,41,7,tech,no,Manager
33,82,9,tech,yes,Manager
83,39,9,sports,no,Data Scientist
92,74,8,tech,yes,Manager
47,46,10,arts,yes,Data Scientist
73,55,9,none,yes,Software Engineer
63,91,2,none,no,Teacher
91,75,6,none,yes,Data Scientist
43,93,4,arts,yes,Manager
77,31,4,tech,no,Data Scientist
44,83,5,tech,no,Manager
91,94,3,sports,no,Software Engineer
69,80,1,tech,yes,Data Scientist
82,82,8,sports,yes,Software Engineer
53,65,5,arts,no,Teacher
55,55,3,none,yes,Manager
89,58,10,none,no,Manager
70,50,7,none,no,Software Engineer
58,40,7,tech,yes,Teacher
44,69,1,sports,yes,Data Scientist
74,40,9,sports,no,Data Scientist
94,65,2,arts,no,Manager
38,88,5,tech,no,Software Engineer
30,68,5,arts,no,Software Engineer
37,83,8,sports,yes,Data Scientist
92,84,8,sports,no,Teacher
40,53,7,none,no,Teacher
37,51,7,tech,no,Data Scientist
64,98,6,sports,yes,Data Scientist
64,85,6,none,yes,Software Engineer
62,62,9,tech,no,Teacher
34,65,6,arts,yes,Data Scientist
70,49,2,tech,yes,Data Scientist
57,91,2,tech,yes,Manager
36,55,5,sports,no,Data Scientist
41,95,4,sports,no,Data Scientist
63,69,2,tech,yes,Teacher
62,46,3,sports,no,Software Engineer
77,30,7,sports,no,Teacher
52,90,8,sports,yes,Software Engineer
